Reference codial;Fournisseur;Machine;Marque;Materiel;Reference;Denomination;Debut;Entrees;Sorties;StockFin;Minimum
330038;FRITEC;;;;620191;BUSE DETENDEUR N° 5;;;;;
330039;FRITEC;;;;620193;BUSE DETENDEUR N° 6;;;;;
330040;FRITEC;;;;622255;SONDES EKS 111P;;;;;
330041;FRITEC;;;;772401;"Filtre déshydrateur 1/4 à visser FLAR CARLY-Déshydrateur DCY 032 1/4""";;;;;
330042;FRITEC;;;;772459;"Filtre déshydrateur 3/8 à souder SAE - CARLY-Déshydrateur BRASER DCY 083S 3/8""";;;;;
330043;FRITEC;;DAIKIN, MITSUBI;;848801;BOMBE SANICOOL;;;;;
330044;FRITEC;;;;855871;Kit scellement chimique;;;;;
330045;FRITEC;;;;866160;SHRADER VALVE 1/4 A SOUDER;;;;;
330046;FRITEC;;;;866213;VANNE DE SERVICE 1/4 (vanne vasco);;;;;
330047;FRITEC;;;;893112;VANNE DE SERVICE 1/4 -5/16- 3/8;;;;;
330048;FRITEC;;;;893483;BOMBE PRESTOBULLES;;;;;
330049;FRANKE;;PRINCE CASTLE;;719.385.071;Prise femelle Timer prince castel;;;;;
330050;CEF;;MENNEKES/LEGRAN;;765;CABLE 3G 1,5 mm²;;;;;
330052;CEF;;?;;21474;PC 16A 2P+T NOIR FEMELLE PLEXO;;;;;
330053;CEF;;?;;21471;PC 16A 2P+T NOIR MALE PLEXO;;;;;
330054;CEF;;?;;60004;Fiche 2P+T 16A 230V mob.prot;;;;;
330055;FRANKE;;TAYLOR;;385.522;CABLE ORANGE 5 CONDUCTEUR;;;;;
330057;FRANKE;;TAYLOR;;385.412;PRISE 7 POLES FEMELLE;;;;;
330058;FRANKE;;MENNEKES;;385.962;PRISE ROUGE 16A  5 POLE;;;;;
330059;FRANKE;;;;1526184;Prise 400V/32A/5P/6H, prise de montage, CEE (3L+N+PE) IP44;;;;;
330060;;;;;50003;Boite plexo 80x80x40;;;;;
330061;;;;;;Prise pintapolaire rouge 16A;;;;;
330062;;;;;;Fiche mâle 220v;;;;;
330063;FRANKE;;FRANKE;;385.734;Prise mâle rouge pentapolaire 380V 16A 3P+N+T IP44;;;;;
330064;ACEI;;ACEI;;TMD07-X;Timer blinder;;;;;
330065;CEF;;DIVERSES;;;Domino porcelaine;;;;;
330066;BAURES;;;;50445;Fiche caout. 2P+T 10/16A;;;;;
330067;CEF;;;;025-6;Fiche IP 44 5x32a 400V;;;;;
330068;CEF;;;;330068;Câble 5x1.5U1000;;;;;
330069;CEF;;;;0400C50;Câble 3x1.5 u1000;;;;;
330070;CEF;;DIVERSES;;406784;Disjoncteur Dnx3 1p+ng c20 4500a auto;;;;;
330071;CEF;;DIVERSES;;52041;Boite plc d67 p 40XL;;;;;
330072;CEF;;DIVERSES;;0417C50;Câble U1000;;;;;
330073;REXEL / COAXEL;;DIVERSES;;SCHXCKP2145P16;Interrupteur de position;;;;;
330074;REXEL / COAXEL;;DIVERSES;;LEG098001;Presse étoupe ISO 16;;;;;
330075;CEF;;DIVERSES;;918009;Nxl led hpfloodlight ii 40w;;;;;
330076;CEF;;DIVERSES;;51804;Contacteur 4kw tetra 230v;;;;;
330077;CEF;;DIVERSES;;55.34.9.024;Relais 4rt 24vdc;;;;;
330078;CEF;;DIVERSES;;55.34.8.024;Relais 4rt 24vac;;;;;
330079;FRITEC;;DIVERSES;;94.04SMA;Support s:55.34 + étrier;;;;;
330080;CEF;;DIVERSES;;031243-1;Sr1f 4.8-2.4 noir 1m20;;;;;
330081;CEF;;DIVERSES;;031232-1;Sr1f 12.7-6.4 noir 1.20;;;;;
330082;CEF;;DIVERSES;;031230-1;Sr1f6.4-3.2 noir 1m20;;;;;
330083;DIVERS FOURNISSEURS;;DIVERSES;;385.591;Câble 5x2.5 H07RNF;;;;;
330084;CEF;;DIVERSES;;330084;Prise bleue mâle 16A;;;;;
330085;CEF;;DIVERSES;;;Prise bleue femelle 16A;;;;;
330086;CEF;;;;XALK174E;Coup de poing ou arrêt d urgence;;;;;
330087;CEF;;DIVERSES;;222412;Borne de connection  2 x0.08-4mm2;;;;;
330088;CEF;;DIVERSES;;222412;Borne de connection  2 x0.08-4mm2;;;;;
330089;CEF;;DIVERSES;;1001P;ADH 15 X 10M Panache (10);;;;;
330090;CEF;;DIVERSES;;2ACE;Barrettes 2.5 MM2 noir(=4);;;;;
330091;CEF;;DIVERSES;;50015;Boite IP55 60X60X40-960°;;;;;
330092;CEF;;DIVERSES;;HP-50053;Presse étoupe PG13.5 + Ecrou;;;;;
330093;CEF;;DIVERS FROID;;0766T;H07Rnf3G2.5 Touret;;;;;
330094;CEF;;DIVERSES;;DF5020012;Fusible rapide 5x20 0.125A VER;;;;;
330095;REXEL / COAXEL;;DIVERSES;;;P.MOB 16A 2P +T 230V PLAST 44;;;;;
330096;REXEL / COAXEL;;DIVERSES;;;P.MOB 16A 2P + T 230V PLAST  44;;;;;
330097;REFLEX SERVICE;;TRUE;;725.102.712;Canal de prise UH-50 élec.;;;;;
330098;FRANKE;;MENNEKES;;1517158;Prise femelle rouge sur canal 380V 32A 3P+N+T IP67 ou réf 1526184;;;;;
330099;FRANKE;;;;385.866;Prise femelle bleue en saillie 230V 16A 1P+N+T;;;;;
330100;FRANKE;;;;805.000.290;Câble pour clamshell au mètre;;;;;
330101;REXEL / COAXEL;;;;LEG055367;Fiche  3P+N+T 20A PLEXO;;;;;
330102;CEF;;;;013-6;Fiche pce ip44 3x 16a 230v;;;;;
330103;CEF;;;;0416C50;Couronne  U1000 R2V 5G1.5;;;;;
330104;CEF;;;;1122.0250;Manchon bt/bt bl 16x14;;;;;
330106;REXEL / COAXEL;;;;LEG069831;Prise murale grise encastrée 1P+N+T plexo;;;;;
330107;REXEL / COAXEL;;;;LEG050445;Fiche 2P+T FR caout.noir à vis;;;;;
330108;FRITEC;;;;857063;Câble 3G2.5 R2V U1000 couronne;;;;;
330109;CEF;;;;MJT716;Disjoncteur 16 A;;;;;
330110;CEF;;;;180;Câble souple 3x0.75 ( vendu à la couronne de 50mètres);;;;;
330111;FRANKE;;;;725.249.573;Plaque prise canal friteuse;;;;;
330112;FRANKE;;;;220315;Vis;;;;;
330113;CEF;;;;610040001;Transformateur .nu 40a s: 24/48v;;;;;
330114;CEF;;;;50004;Boite IP 55 105X105X55 1/4T-960°;;;;;
330115;CEF;;;;1122.0140;Manchon bt/bt rg 22x16;;;;;
330116;CEF;;;;1122.0465;Manchon bt/bt ja 12x10;;;;;
330117;CEF;;;;1123.5263;Cos.fe/pl.is.bl6.6x0.8;;;;;
330118;CCE;;;;55708;Plexo 10 prises 3P+N+T 20A 380V;;;;;
330119;CCE;;;;55637;Fiche 3P+ N +T 20A Plexo;;;;;
330120;CEF;;;;22 003 003;SIRCO m1 3X32A;;;;;
330121;CEF;;;;14741111;Cde front et lat ext.dr.ro;;;;;
330122;CEF;;;;14070515;Axe de commande  150mm;;;;;
330123;CEF;;;;14070520;Axe de commande 200mm;;;;;
330124;CEF;;;;4132-6F78;Socle 3p16a 230v ip67;;;;;
330125;FRANKE;;;;366.303;Câble 5x2.5;;;;;
330126;CEF;;;;0790T;H07 RNF 5G2.5 Touret;;;;;
330127;CECCI;;;;1887054208;Bornier de câblage;;;;;
330128;FRITEC;;;;772451;"Déshydrateur Carly à braser DCY 032S 1/4""";;;;;
330129;CEF;;;;XALK178E;Coup de poing ou boite arret d urgence;;;;;
330130;CEF;;;;XALK178E;Coup de poing ou boite arret d urgence;;;;;
330131;BALITRAND;;;;542.257;Fiche 2P+T caout.vis;;;;;
330132;BALITRAND;;;;535.352;Adaptateur fiche;;;;;
330133;REFLEX SERVICE;;;;1518215;Pc murale;;;;;
330134;REXEL / COAXEL;;ELIWELL;;SCHCMD2115L;Contact de porte à roulette;;;;;
330135;CEF;;;;1030;Cable multipaire gris Syt 5P20G 100M;;;;;
330136;REXEL / COAXEL;;;;SCHXALK178;Boite à fonction A;;;;;
330137;REXEL / COAXEL;;;;SCHZENL1111;Bloc contact de boite F;;;;;
330138;CEF;;;;SCHXCMD2115L1;Câble IDP 1F1O RB;;;;;
330139;CEF;;;;50001;Boite de dérivation IP 55 ronde d60x40-960°;;;;;
330140;CEF;;;;TT881;Jeu de cordons modulaires;;;;;
330141;CEF;;;;57407;Drive air TP12;;;;;
330142;CEF;;;;182;Cable H05 Vvf 3G1.5 Blc;;;;;
330143;CEF;;;;MV65194;Rail C40 Pluriel LG3000 Z275;;;;;
330144;CECCI;;;;1887008860;Contacteur 40A 230-240 VCA;;;;;
330145;REXEL / COAXEL;;;;SCHXALD01;Boitier vide 1 bouton;;;;;
330146;FRANKE;;TAYLOR;;1517159;Prise femelle 7 pôles rouge pour grill 32A;;;;;
330147;FRANKE;;;;385.993;Prise femelle 7 pôles 400V IP 44;;;;;
330148;CECCI;;;;2020188;Interrupteur de position;;;;;
330149;CECCI;;;;40430090;Presse étoupe;;;;;
330150;BALITRAND;;;;542.231;Fiche male caoutchouc 2P+T NR;;;;;
330151;BALITRAND;;;;534.615;PC/T plexo saillie;;;;;
330152;CEF;;;;1017;Bobine de câble 5 paires;;;;;
330153;CEF;;;;DF5120400;Fusible en verre 4 ampères;;;;;
330154;CEF;;;;1120.2490;Cosse f pre-iso m10.5 ja;;;;;
330155;CEF;;;;B650/8E;Cosses anneaux jaunes;;;;;
330156;CEF;;;;1252-6;Fiche;;;;;
330157;CEF;;;;0252-6;Prise;;;;;
330158;CEF;;;;909213;Ampoule Halospot 111 50w;;;;;
330159;FRITEC;;;;857067;Câble U1000 R2V;;;;;
330160;CEF;;;;186;Câble H05 Vvf 4G0.75;;;;;
330161;CEF;;;;LC1D32P7;Contateur 32 A 1F 1O 230V 50 60;;;;;
330162;FRITEC;;;;848803;Spray désinfectant;;;;;
330163;CEF;;;;221415;Borne wago 221 mini 5x4mm2 à levier;;;;;
330164;FRITEC;;;;0765T;Câble H07 Rnf 3G1.5;;;;;
330165;CEF;;;;277132;Contacteur Mot 25A 1F 230V 50HZ 240V 60HZ;;;;;
330166;CEF;;;;277247;Contacteur MOT 32A 1F 24V50HZ;;;;;
330167;REXEL / COAXEL;;;;LEG069712;Interrupteur chambre froide;;;;;
330168;REXEL / COAXEL;;;;TRN96241870;Lumière Led  AQUAF2 4300 HF QF connect L840;;;;;
330169;REXEL / COAXEL;;;;LEG069651;Boitier 1P gris compo;;;;;
330170;REXEL / COAXEL;;;;LEG069583;Voyant balis.et signa.compo;;;;;
330171;REXEL / COAXEL;;;;LEG069591;Diffus.balis.rouge compo;;;;;
330172;REXEL / COAXEL;;;;330172;Câble multipaire;;;;;
330173;REXEL / COAXEL;;;;CAF558051;Attache pour câble au fil  CE40EZ ( Eclisse);;;;;
330174;REXEL / COAXEL;;;;BIZ770183;Rondelle plate extra large;;;;;
330175;REXEL / COAXEL;;;;CAF000081;Chemin de câble CF 54/150BS EZ;;;;;
330176;REXEL / COAXEL;;;;BIZ710311;Bandes perforées 10M 17MMX0.8MM;;;;;
330177;REXEL / COAXEL;;;;CAF558241;Attache pour câble rapide ( Eclisse);;;;;
330178;REXEL / COAXEL;;;;FILR2V4G1,5C50NXS;Câble R2V 4G1.5;;;;;
330179;REXEL / COAXEL;;;;SCHENN05004;Boite dérivation embout 80x80x45;;;;;
330180;REXEL / COAXEL;;;;TRI5219504;Oleveon 136E PC;;;;;
330181;REXEL / COAXEL;;;;IBO28950;Tube iro  ( au mètre);;;;;
330182;REXEL / COAXEL;;;;SCHENN05001;Boite dérivation embout diam 60;;;;;
330183;REXEL / COAXEL;;;;SCHENN05005;Boite de dérivation 105x1058x55;;;;;
330184;REXEL / COAXEL;;;;IBO00323;Tube iro ou goulotte TA-E 25X30 W0  (vendu au mètre);;;;;
330185;REXEL / COAXEL;;;;WAG221-413;Borne Wago 221 mini 3x4 mm2 à levier;;;;;
330186;CEF;;;;727834-100;Goulotte 60x30;;;;;
330187;CEF;;;;30ACE;Barrettes 16mm2;;;;;
330188;CEF;;;;69711;Va et vient gris sailli;;;;;
330189;LIFTASUD IDF;;;;33540316;Câble R2V 3G 1.5 (100ML);;;;;
330190;FRANKE;;;;1544977;Prise;;;;;
330191;REXEL / COAXEL;;;;LEG052022;Prise 16A  2 P+T 220 Volt;;;;;
330192;REXEL / COAXEL;;;;LEG052029;Boite plexo boite plastique simple  16A 2P+T;;;;;
330193;REXEL / COAXEL;;;;LEG406775;Disjoncteur;;;;;
330194;REXEL / COAXEL;;;;0010FILSYT15PAWG20GRC100;Fil SP 5PAWG20;;;;;
330195;REXEL / COAXEL;;;;FILH05VVF3G0;Câble 3G0.75 blanc C50M;;;;;
340001;;;;;NULL;Tirage au vide;;;;;
340002;;;;;NULL;Récupération de gaz;;;;;
340003;;;;;NULL;Recherche de fuite à l'azote;;;;;
340004;;;;;NULL;Nettoyage condenseur;;;;;
340005;;;;;NULL;Nettoyage à l'azote;;;;;
340007;FRITEC;;;;845135;Fréon R22T;;;;;
340009;;;;;NULL;Petit outillage;;;;;
340010;FRITEC;;ELIWELL;;792372;Régulateur Eliwell ID-974-230V 16A;;;;;
340011;FRITEC;;;;845507;Fréon R410A;;;;;
340012;FRITEC;;;;845505;Fréon R407C;;;;;
340013;FRITEC;;;;845461;"Fréon R290 bouteille 390gr
";;;;;
340014;;;;;340014;Brasure argent ou cuivre;;;;;
340015;FRITEC;;ELCO;;526113;VENTILATEUR VN 5;;;;;
340016;FRITEC;;DANFOSS;;620170;Détendeur - DANFOSS-Corps détendeur P.TES2-N;;;;;
340017;FRITEC;;DANFOSS;;622253;Sonde - DANFOSS-Sonde AKS12 PT1000 1.5M (084N0036);;;;;
340018;FRITEC;;DANFOSS;;622407;Régulateur ERC 202 A - DANFOSS ELEC.EKC 202A 230V Sans sonde;;;;;
340019;FRITEC;;DANFOSS;;626061;Filtre déshydrateur - DANFOSS DCL 083S 3/8 (023Z502300);;;;;
340020;FRITEC;;TOUTES MARQUES;;627225;BOBINE EV 240V;;;;;
340021;FRITEC;;DANFOSS;;792171;Sonde - ELIWELL- PTC Câble Silicone 1.5M;;;;;
340022;FRITEC;;DIVERS FROID;;826160;VANNE A SOUDER 3/8;;;;;
340024;FRITEC;;DIVERS FROID;;866760;VANNE A SOUDER 3/8;;;;;
340026;FRITEC;;DIVERS FROID;;893271;RELAIS DEMARRAGE;;;;;
340027;FRITEC;;DIVERS FROID;;893273;RELAIS DEMARRAGE;;;;;
340028;FRITEC;;JULES RICHARD;;896553;STYLET X5 (jeu);;;;;
340029;FRITEC;;?;;068-2010;BUSE 01;;;;;
340030;FRITEC;;?;;068-2090  //621071;BUSE 00;;;;;
340031;FRITEC;;?;;068-2091// 621073;BUSE 01;;;;;
340032;FRITEC;;?;;068-2094//621079;BUSE 04;;;;;
340033;FRITEC;;?;;068-2095;BUSE 05;;;;;
340034;FRITEC;;FERMOD;;092021101C;CAPUCHON VERT;;;;;
340035;FRITEC;;;;772823;"Voyant Liquide a braser 3/8"" VCYL33S";;;;;
340036;FRITEC;;DANFOSS;;792.171;SONDE;;;;;
340037;FRITEC;;ELCO;;526 057;VENTILATEUR VN 16;;;;;
340038;FRITEC;;ELCO;;526115;VENTILATEUR VN 10;;;;;
340039;FRITEC;;ELCO;;526 213;VENTILATEUR VN 25;;;;;
340040;FRITEC;;?;;682092;BUSE 02;;;;;
340041;FRITEC;;?;;;Ecrou tube 1/4 à visser 3/8;;;;;
340042;FRITEC;;?;;;Ecrou tube 3/8 à visser 1/2;;;;;
340043;FRITEC;;?;;;Ecrou 5/8;;;;;
340044;FRITEC;;;;867005;Ecrou 1/8;;;;;
340045;FRITEC;;?;;867017;Ecrou 1/2;;;;;
340046;FRITEC;;?;;068.2094;BUSE 04;;;;;
340047;FRITEC;;?;;068.2095;BUSE 05;;;;;
340048;FRITEC;;FERMOD;;092.021.101 C;CAPUCHON VERT;;;;;
340049;FRITEC;;DANFOSS;;620.170;DETENDEUR;;;;;
340050;FRITEC;;DANFOSS;;620.172;DETENDEUR;;;;;
340051;FRITEC;;DANFOSS;;622.253;SONDE PT 1000;;;;;
340052;FRITEC;;ELCO;;526057;VENTILATEUR VN 16;;;;;
340053;FRITEC;;ELCO;;526113;VENTILATEUR VN 5;;;;;
340054;FRITEC;;ELCO;;526115;Ventilateur VN 10;;;;;
340055;FRITEC;;ELCO;;526213;VENTILATEUR VN 25;;;;;
340056;FRITEC;;DANFOSS;;622407;REGULATEUR ERC 202 A;;;;;
340057;FRITEC;;DANFOSS;;622412;Régulateur 202C 11S - DANFOSS Elec.Univ. EKC 202C MS 230V SS Sondes pour dégivrage électrique;;;;;
340058;REFLEX SERVICE;;TAYLOR;;2005086927;Contacteur 4P 40A 240V;;;;;
340059;FRITEC;;;;620181;Buse détendeur 00 (DANFOSS réf 0682003) T2 ORIFICE N°00;;;;;
340060;FRITEC;;;;620187;Buse détendeur 03 (DANFOSS réf 0682006) T2 Orifice N°03;;;;;
340061;FRITEC;;;;682007;BUSE 04;;;;;
340062;FRITEC;;;;682010;BUSE 01;;;;;
340063;FRITEC;;;;620081;BUSE 00 DANFOSS (réf 0682090)-T2 ORIFICE 00 F/B à braser;;;;;
340064;FRITEC;;;;867017;Ecrou 1/2;;;;;
340065;FRITEC;;;;;Ecrou 1/4;;;;;
340066;FRITEC;;;;068.2095;BUSE 05;;;;;
340067;FRITEC;;FERMOD;;092.021.101 C;CAPUCHON VERT;;;;;
340068;FRITEC;;ELCO;;526173;HELICE VENTILATEUR;;;;;
340069;FRITEC;;DIVERSES;;866213;VANNE A VISSER;;;;;
340070;FRITEC;;ELCO;;526059;MOTEUR VENTILO  / 25/100 W;;;;;
340071;FRITEC;;ELCO;;526119;Moteur VNT25.40.030 (NET5T25PVN001)  ELCO;;;;;
340072;FRITEC;;;;526057;VENTILATEUR VN 16;;;;;
340073;FRITEC;;ELCO;;526113;VENTILATEUR VN 5;;;;;
340074;FRITEC;;ELCO;;526115;VENTILATEUR VN 10;;;;;
340075;FRITEC;;ELCO;;526213;VENTILATEUR VN 25;;;;;
340076;FRITEC;;DANFOSS;;620172;Détendeur - DANFOSS-Corps détendeur P.TES2-B;;;;;
340077;FRITEC;;DANFOSS;;622407;REGULATEUR EKC 202 A;;;;;
340078;FRITEC;;DAGARD;;9884244;BOUCHON VALVE;;;;;
340079;FRITEC;;DAGARD;;4826395001;CORDON CHAUFFANT;;;;;
340080;FRITEC;;FLASH;;703103;DESHYDRATEUR;;;;;
340081;FRITEC;;DEHON;;R134;FREON;;;;;
340082;FRITEC;;DEHON;;R404;FREON;;;;;
340083;CEF;;FLASH;;EH010;HORLOGE 24 H;;;;;
340084;FRITEC;;ELIWELL;;792 354;REGULATEUR ELECTRONIQUE;;;;;
340085;FRITEC;;ELIWELL;;792 372;REGULATEUR ELECTRONIQUE;;;;;
340086;FRITEC;;JOHNSON;;MR51PM230;REGULATEUR ELECTRONIQUE;;;;;
340087;FRITEC;;DAGARD;;866159;VALVE A SOUDER - raccord droit 6cm 1/4;;;;;
340088;FRITEC;;DAGARD;;MV2140;VALVE RAPIDE;;;;;
340089;FRITEC;;ELCO;;526115;VENTILATEUR VN 10;;;;;
340090;FRITEC;;ELCO;;526117;MOTEUR VNT16.25.029 (NET5T16PVN001) ELCO-;;;;;
340091;FRITEC;;ELCO;;526113;VENTILATEUR VN 5;;;;;
340092;FRITEC;;;;628117;Transformateur TCM 230/12V 3VA (TRA12UNI00) ELIWELL;;;;;
340093;FRITEC;;TCM;;628117;TRANSFORMATEUR 230/12 VOLT 3VA;;;;;
340095;FRITEC;;DANFOSS;;620095;"Adaptateur Danfoss a BR 1/4 """;;;;;
340096;;;DANFOSS;;627217;Bobine 24V 50HZ DANFOSS;;;;;
340097;FRITEC;;DANFOSS;;627315;Electrovanne 3/8 à souder  EVR6;;;;;
340098;;;CARREL;;628101;Sonde de régulation PTC CARREL;;;;;
340099;;;ELIWELL;;792117;Régulateur ELIWELL EWDR983;;;;;
340100;FRITEC;;;;866215;Vanne rapide 3/8 / Collier perce tube serie B 3/8 MV-2380;;;;;
340101;;;;;893145;Vanne Shrader universelle;;;;;
340102;FRITEC;;;;772403;Deshy 1/4 ODF DCY052S;;;;;
340103;FRITEC;;DAIKIN;;5008575;Platine de contrôle pour FTXS50G2V1B;;;;;
340104;FRITEC;;DAIKIN;;5010287;Moteur turbine pour FTXS50G2V1B;;;;;
340105;FRITEC;;DAIKIN;;2072018;Moteur ventilo pour 4MXS80E7V3B1;;;;;
340106;FRITEC;;DAGARD;;TSCONG2400;Goulotte angle Dagard;;;;;
340107;FRITEC;;DAGARD;;TSLIPROT00;Protection murale de chambre froide;;;;;
340108;FRITEC;;DAGARD;;822809;Armaflex diam 40;;;;;
340109;FRITEC;;DAGARD;;TSELIPR000;Lot d'embout;;;;;
340110;FRITEC;;DIVERSES;;822602;Rouleau de bande armaflex;;;;;
340111;FRITEC;;DAGARD;;TSPLINT00;Plinthe noire chambre froide;;;;;
340112;FRITEC;;DAGARD;;TSCANGL00;Lot de 4 coins d'angles;;;;;
340113;FRITEC;;DAGARD;;TSCPLINT00;Lot de 4 angles noir;;;;;
340114;FRITEC;;DAGARD;;TSEPLINT00;Lot d'embout;;;;;
340115;FRITEC;;DIVERS FROID;;627311;Electrovanne pour Carpigiani 1/4 braser;;;;;
340116;FRITEC;;DIVERS FROID;;520.117;Ventilo évap;;;;;
340117;FRITEC;;FERMOD;;898385;Lanière translucide négative;;;;;
340118;FRITEC;;FERMOD;;898381;Lanière translucide chambre positive;;;;;
340119;FRITEC;;ELIWELL;;792354;Régulateur  Eliwell ID + 961;;;;;
340120;TCA;;DIVERSES;;ATEL67;Grille ext.A 430 x 490H PAS 50MM;;;;;
340121;FRITEC;;DIVERSES;;300351;Platine;;;;;
340122;FRITEC;;DIVERSES;;065338J;Résistance;;;;;
340123;FRITEC;;;;335737;Résistance évaporateur;;;;;
340124;GENERALE FRIGORIFIQUE FRANCE;;;;303002;Ventilateur évaporateur;;;;;
340125;GENERALE FRIGORIFIQUE FRANCE;;DIVERS FROID;;AATE3501B;Compresseur;;;;;
340126;LANGUEDOC OUTILLAGE;;;;39025;Bouteille d'azote 0.9m3;;;;;
340127;FRITEC;;;;538105;Ventilateur hélice 4656Z avec connecteur LZ 120B;;;;;
340128;FRITEC;;;;893492;Détecteur de fuite CARLYLOC 400ml;;;;;
340129;FRITEC;;;;844620;Bouteille de récupération 12L HP;;;;;
340130;FRITEC;;ELIWELL;;792323;Thermostat enc. IC901 230V ELIWELL;;;;;
340131;FRITEC;;;;703101;Déshydrateur;;;;;
340132;FRITEC;;;;479172;Kit support complet blanc 450mm JZ450 (1 carton contient 1 paire de support);;;;;
340133;FRITEC;;DIVERSES;;526061;Moteur ventilateur 24W 230 v;;;;;
340134;FRITEC;;DIVERS FROID;;211432;Compresseur de frigo;;;;;
340135;;;;;;Recherche de fuite avec prestobull ou mille bulle;;;;;
340136;RHONE CHIMIE INDUSTRIE;;DIVERSES;;DSX04060A;Bidon de désoxal par 5 litres;;;;;
340137;;;;;;Forfait recharge R290 (comprenant embout à sertir + fréon);;;;;
340138;FRITEC;;;;844750;Reprise - Emballage CUBIKOOL;;;;;
340139;FRITEC;;DIVERS FROID;;;Cordon chauffant ou résistance 6m56;;;;;
340140;FRITEC;;;;200473;Unité extérieure;;;;;
340141;FRITEC;;;;350239;Evaporateur;;;;;
340142;FRITEC;;;;620066;Détendeur TES2;;;;;
340143;FRITEC;;;;628300;Coffret de régulation;;;;;
340144;FRITEC;;;;627312;"Electrovanne à braser - DANFOSS-EVR 6 1/2""";;;;;
340145;FRITEC;;EMBRACO;;263242;Compresseur EMBRACO HERM.NT6222 GK au R404A;;;;;
340146;CED;;;;733862-100;Tube iro les 3mètres ou moulures;;;;;
340147;FRITEC;;;;855303;Tige filetée nylon M10 1 mètre;;;;;
340148;FRITEC;;;;855313;Ecrou nylon;;;;;
340149;FRITEC;;;;850106;Cuivre 3/8;;;;;
340150;FRITEC;;;;850108;Cuivre 1/2 non isole prix au metre couronne de 15 metre;;;;;
340151;FRITEC;;;;823407;Armaflex isolant 13 X 012;;;;;
340152;FRITEC;;FERMOD;;860433;Poignée fermeture à clé Fermod;;;;;
340153;FRITEC;;DAIKIN;;1678925;Compresseur pour RZQ100C7V1B;;;;;
340154;FRITEC;;DAIKIN;;5014170;Platine Daikin pour RZQ100C7V1B;;;;;
340155;FRITEC;;DAIKIN;;65337J;Résistance de configuration;;;;;
340156;FRITEC;;DIVERS FROID;;211492;Compresseur FR6CL;;;;;
340157;FRITEC;;DIVERS FROID;;930036;Déshydrateur 1/4 à souder;;;;;
340158;FRITEC;;;;702607;Déshydrateur cigare;;;;;
340159;FRITEC;;DANFOSS;;211435;Compresseur DANFOSS SC21 CL HST;;;;;
340160;FRITEC;;DIVERS FROID;;620097;Adaptateur DANFOS 3/8;;;;;
340161;FRITEC;;DIVERSES;;880450;Castolin cartouche oxygène;;;;;
340162;FRITEC;;DIVERSES;;880473;Castolin cartouche 3050;;;;;
340163;FRITEC;;DIVERSES;;851113;Capillaire P.Raccord 1.oM à shrader;;;;;
340164;FRITEC;;DIVERSES;;870101;Manchon F-F 1/4;;;;;
340165;FRITEC;;DIVERSES;;870102;Manchon F.F 3/8;;;;;
340166;FRITEC;;DIVERSES;;870104;Manchon F-F 5/8;;;;;
340167;FRITEC;;JOHNSON;;681615;Régulateur Johnson 230V avec 2 sondes IP67 incluses;;;;;
340168;FRITEC;;DANFOSS;;627253;Bobine Danfoss;;;;;
340169;ROLESCO;;DIVERS FROID;;60270328;Thermostat avec sonde MR53+PM230-2CA;;;;;
340170;FRITEC;;DIVERSES;;479080;Tube cuivre 1/4-3/8;;;;;
340171;FRITEC;;DIVERSES;;479406;Goulotte canal split + film;;;;;
340172;FRITEC;;DIVERSES;;479404;Goulotte canalsplit+ film type 08;;;;;
340173;FRITEC;;DIVERSES;;479425;Coude 90° Type 1207 CP;;;;;
340174;FRITEC;;DIVERSES;;479453;Réduction type 1280RI;;;;;
340175;FRITEC;;DIVERSES;;872105;Coude 90° GR F-F;;;;;
340176;FRITEC;;DIVERSES;;874105;"TÉ 5/8""";;;;;
340177;FRITEC;;DIVERSES;;870209;Manchon réduction F-F;;;;;
340178;ROLESCO;;DIVERS FROID;;620880009;hélice aspirante diam 172;;;;;
340179;FRITEC;;DANFOSS;;211433;Compresseur SC15CL Danfoss;;;;;
340180;FRITEC;;EMBRACO;;263263;Compresseur Embraco HERM.NT 6220 GK;;;;;
340181;FRITEC;;DIVERS FROID;;02C0500700;Résistance cadre de porte 6.56m;;;;;
340182;COFRISET;;;;340182;Régulateur AKO 10323 230 v;;;;;
340183;DIVERS FOURNISSEURS;;TOURNUS;;262028;Thermostat pour groupe froid;;;;;
340184;DIVERS FOURNISSEURS;;TOURNUS;;262395;Polyester façade thermos froid;;;;;
340185;COFRISET;;DIVERS FROID;;114842150;Régulateur AKO 10323 230V;;;;;
340186;FRITEC;;ELCO;;520120;Elco ventilateur;;;;;
340187;FRITEC;;ELCO;;526177;Hélice A0254 MM/R/28° ALU;;;;;
340188;FRITEC;;;;200655;Groupe froid;;;;;
340189;FRITEC;;;;341011;Evaporateur plafonnier;;;;;
340190;FRITEC;;DANFOSS;;627314;Electrovanne 3/8 à braser;;;;;
340191;FRITEC;;DANFOSS;;625011;Pressostat Danfoss;;;;;
340192;FRITEC;;DANFOSS;;625093;Console de montage;;;;;
340193;FRITEC;;;;851103;"Capillaire raccord  1.0 M L 1/4""";;;;;
340194;FRITEC;;;;791705;Coffret électrique  FP-PNM9;;;;;
340195;FRITEC;;;;850112;Tube  5/8;;;;;
340196;FRITEC;;;;823411;Armaflex;;;;;
340197;FRITEC;;;;IMS 257;Support mural réglable avec niveau  550 x800 mm;;;;;
