;Référence;Réf. Fournisseur;Fournisseur;Marque;Désignation;Quantités
342;330070;406784;CEF;DIVERSES;Disjoncteur Dnx3 1p+ng c20 4500a auto;
343;330071;52041;CEF;DIVERSES;Boite plc d67 p 40XL;
344;330072;0417C50;CEF;DIVERSES;Câble U1000;
345;330073;SCHXCKP2145P16;REXEL / COAXEL;DIVERSES;Interrupteur de position;
346;330074;LEG098001;REXEL / COAXEL;DIVERSES;Presse étoupe ISO 16;
347;330075;918009;CEF;DIVERSES;Nxl led hpfloodlight ii 40w;
348;330076;051804;CEF;DIVERSES;Contacteur 4kw tetra 230v;
349;330077;55.34.9.024;CEF;DIVERSES;Relais 4rt 24vdc;
350;330078;55.34.8.024;CEF;DIVERSES;Relais 4rt 24vac;
351;330079;94.04SMA;FRITEC;DIVERSES;Support s:55.34 + étrier;
352;330080;031243-1;CEF;DIVERSES;Sr1f 4.8-2.4 noir 1m20;
353;330081;031232-1;CEF;DIVERSES;Sr1f 12.7-6.4 noir 1.20;
354;330082;031230-1;CEF;DIVERSES;Sr1f6.4-3.2 noir 1m20;
355;330083;385.591;DIVERS FOURNISSEURS;DIVERSES;Câble 5x2.5 H07RNF;
356;330084;330084;CEF;DIVERSES;Prise bleue mâle 16A;
357;330085;;CEF;DIVERSES;Prise bleue femelle 16A;
358;330086;XALK174E;CEF;;Coup de poing ou arrêt d urgence;
359;330087;222412;CEF;DIVERSES;Borne de connection  2 x0.08-4mm2;
360;330088;222412;CEF;DIVERSES;Borne de connection  2 x0.08-4mm2;
361;330089;1001P;CEF;DIVERSES;ADH 15 X 10M Panache (10);
362;330090;2ACE;CEF;DIVERSES;Barrettes 2.5 MM2 noir(=4);
363;330091;50015;CEF;DIVERSES;Boite IP55 60X60X40-960°;
364;330092;HP-50053;CEF;DIVERSES;Presse étoupe PG13.5 + Ecrou;
365;330093;0766T;CEF;DIVERS FROID;H07Rnf3G2.5 Touret;
366;330094;DF5020012;CEF;DIVERSES;Fusible rapide 5x20 0.125A VER;
367;330095;;REXEL / COAXEL;DIVERSES;P.MOB 16A 2P +T 230V PLAST 44;
368;330096;;REXEL / COAXEL;DIVERSES;P.MOB 16A 2P + T 230V PLAST  44;
369;330097;725.102.712;REFLEX SERVICE;TRUE;Canal de prise UH-50 élec.;
370;330098;1517158;FRANKE;MENNEKES;Prise femelle rouge sur canal 380V 32A 3P+N+T IP67 ou réf 1526184;
371;330099;385.866;FRANKE;;Prise femelle bleue en saillie 230V 16A 1P+N+T;
372;330100;805.000.290;FRANKE;;Câble pour clamshell au mètre;
373;330101;LEG055367;REXEL / COAXEL;;Fiche  3P+N+T 20A PLEXO;
374;330102;013-6;CEF;;Fiche pce ip44 3x 16a 230v;
375;330103;0416C50;CEF;;Couronne  U1000 R2V 5G1.5;
376;330104;1122.0250;CEF;;Manchon bt/bt bl 16x14;
377;330106;LEG069831;REXEL / COAXEL;;Prise murale grise encastrée 1P+N+T plexo;
378;330107;LEG050445;REXEL / COAXEL;;Fiche 2P+T FR caout.noir à vis;
379;330108;857063;FRITEC;;Câble 3G2.5 R2V U1000 couronne;
380;330109;MJT716;CEF;;Disjoncteur 16 A;
381;330110;0180;CEF;;Câble souple 3x0.75 ( vendu à la couronne de 50mètres);
382;330111;725.249.573;FRANKE;;Plaque prise canal friteuse;
383;330112;220315;FRANKE;;Vis;
384;330113;610040001;CEF;;Transformateur .nu 40a s: 24/48v;
385;330114;50004;CEF;;Boite IP 55 105X105X55 1/4T-960°;
386;330115;1122.0140;CEF;;Manchon bt/bt rg 22x16;
387;330116;1122.0465;CEF;;Manchon bt/bt ja 12x10;
388;330117;1123.5263;CEF;;Cos.fe/pl.is.bl6.6x0.8;
389;330118;055708;CCE;;Plexo 10 prises 3P+N+T 20A 380V;
390;330119;055637;CCE;;Fiche 3P+ N +T 20A Plexo;
391;330120;2200 3003;CEF;;SIRCO m1 3X32A;
392;330121;14741111;CEF;;Cde front et lat ext.dr.ro;
393;330122;14070515;CEF;;Axe de commande  150mm;
394;330123;14070520;CEF;;Axe de commande 200mm;
395;330124;4132-6F78;CEF;;Socle 3p16a 230v ip67;
396;330125;366.303;FRANKE;;Câble 5x2.5;
397;330126;0790T;CEF;;H07 RNF 5G2.5 Touret;
398;330127;01887054208;CECCI;;Bornier de câblage;
399;330128;772451;FRITEC;;"Déshydrateur Carly à braser DCY 032S 1/4""";
400;330129;XALK178E;CEF;;Coup de poing ou boite arret d urgence;
401;330130;XALK178E;CEF;;Coup de poing ou boite arret d urgence;
402;330131;542.257;BALITRAND;;Fiche 2P+T caout.vis;
403;330132;535.352;BALITRAND;;Adaptateur fiche;
404;330133;1518215;REFLEX SERVICE;;Pc murale;
405;330134;SCHCMD2115L;REXEL / COAXEL;ELIWELL;Contact de porte à roulette;
406;330135;1030;CEF;;Cable multipaire gris Syt 5P20G 100M;
407;330136;SCHXALK178;REXEL / COAXEL;;Boite à fonction A;
408;330137;SCHZENL1111;REXEL / COAXEL;;Bloc contact de boite F;
409;330138;SCHXCMD2115L1;CEF;;Câble IDP 1F1O RB;
410;330139;50001;CEF;;Boite de dérivation IP 55 ronde d60x40-960°;
411;330140;TT881;CEF;;Jeu de cordons modulaires;
412;330141;057407;CEF;;Drive air TP12;
413;330142;0182;CEF;;Cable H05 Vvf 3G1.5 Blc;
414;330143;MV65194;CEF;;Rail C40 Pluriel LG3000 Z275;
415;330144;01887008860;CECCI;;Contacteur 40A 230-240 VCA;
416;330145;SCHXALD01;REXEL / COAXEL;;Boitier vide 1 bouton;
417;330146;1517159;FRANKE;TAYLOR;Prise femelle 7 pôles rouge pour grill 32A;
418;330147;385.993;FRANKE;;Prise femelle 7 pôles 400V IP 44;
419;330148;00002020188;CECCI;;Interrupteur de position;
420;330149;00040430090;CECCI;;Presse étoupe;
421;330150;542.231;BALITRAND;;Fiche male caoutchouc 2P+T NR;
422;330151;534.615;BALITRAND;;PC/T plexo saillie;
423;330152;1017;CEF;;Bobine de câble 5 paires;
424;330153;DF5120400;CEF;;Fusible en verre 4 ampères;
425;330154;1120.2490;CEF;;Cosse f pre-iso m10.5 ja;
426;330155;B650/8E;CEF;;Cosses anneaux jaunes;
427;330156;1252-6;CEF;;Fiche;
428;330157;0252-6;CEF;;Prise;
429;330158;909213;CEF;;Ampoule Halospot 111 50w;
430;330159;857067;FRITEC;;Câble U1000 R2V;
431;330160;0186;CEF;;Câble H05 Vvf 4G0.75;
432;330161;LC1D32P7;CEF;;Contateur 32 A 1F 1O 230V 50 60;
433;330162;848803;FRITEC;;Spray désinfectant;
434;330163;221415;CEF;;Borne wago 221 mini 5x4mm2 à levier;
435;330164;0765T;FRITEC;;Câble H07 Rnf 3G1.5;
436;330165;277132;CEF;;Contacteur Mot 25A 1F 230V 50HZ 240V 60HZ;
437;330166;277247;CEF;;Contacteur MOT 32A 1F 24V50HZ;
438;330167;LEG069712;REXEL / COAXEL;;Interrupteur chambre froide;
439;330168;TRN96241870;REXEL / COAXEL;;Lumière Led  AQUAF2 4300 HF QF connect L840;
440;330169;LEG069651;REXEL / COAXEL;;Boitier 1P gris compo;
441;330170;LEG069583;REXEL / COAXEL;;Voyant balis.et signa.compo;
442;330171;LEG069591;REXEL / COAXEL;;Diffus.balis.rouge compo;
443;330172;330172;REXEL / COAXEL;;Câble multipaire;
444;330173;CAF558051;REXEL / COAXEL;;Attache pour câble au fil  CE40EZ ( Eclisse);
445;330174;BIZ770183;REXEL / COAXEL;;Rondelle plate extra large;
446;330175;CAF000081;REXEL / COAXEL;;Chemin de câble CF 54/150BS EZ;
447;330176;BIZ710311;REXEL / COAXEL;;Bandes perforées 10M 17MMX0.8MM;
448;330177;CAF558241;REXEL / COAXEL;;Attache pour câble rapide ( Eclisse);
449;330178;FILR2V4G1,5C50NXS;REXEL / COAXEL;;Câble R2V 4G1.5;
450;330179;SCHENN05004;REXEL / COAXEL;;Boite dérivation embout 80x80x45;
451;330180;TRI5219504;REXEL / COAXEL;;Oleveon 136E PC;
452;330181;IBO28950;REXEL / COAXEL;;Tube iro  ( au mètre);
453;330182;SCHENN05001;REXEL / COAXEL;;Boite dérivation embout diam 60;
454;330183;SCHENN05005;REXEL / COAXEL;;Boite de dérivation 105x1058x55;
455;330184;IBO00323;REXEL / COAXEL;;Tube iro ou goulotte TA-E 25X30 W0  (vendu au mètre);
456;330185;WAG221-413;REXEL / COAXEL;;Borne Wago 221 mini 3x4 mm2 à levier;
457;330186;727834-100;CEF;;Goulotte 60x30;
458;330187;30ACE;CEF;;Barrettes 16mm2;
459;330188;069711;CEF;;Va et vient gris sailli;
460;330189;33540316;LIFTASUD IDF;;Câble R2V 3G 1.5 (100ML);
461;330190;1544977;FRANKE;;Prise;
462;330191;LEG052022;REXEL / COAXEL;;Prise 16A  2 P+T 220 Volt;
463;330192;LEG052029;REXEL / COAXEL;;Boite plexo boite plastique simple  16A 2P+T;
464;330193;LEG406775;REXEL / COAXEL;;Disjoncteur;
465;330194;0010FILSYT15PAWG20GRC100;REXEL / COAXEL;;Fil SP 5PAWG20;
466;330195;FILH05VVF3G0;REXEL / COAXEL;;Câble 3G0.75 blanc C50M;
467;340001;NULL;;;Tirage au vide;
468;340002;NULL;;;Récupération de gaz;
469;340003;NULL;;;Recherche de fuite à l'azote;
470;340004;NULL;;;Nettoyage condenseur;
471;340005;NULL;;;Nettoyage à l'azote;
472;340007;845135;FRITEC;;Fréon R22T;
473;340009;NULL;;;Petit outillage;
474;340010;792372;FRITEC;ELIWELL;Régulateur Eliwell ID-974-230V 16A;
475;340011;845507;FRITEC;;Fréon R410A;
476;340012;845505;FRITEC;;Fréon R407C;
477;340013;845461;FRITEC;;"Fréon R290 bouteille 390gr
";
478;340014;340014;;;Brasure argent ou cuivre;
479;340015;526113;FRITEC;ELCO;VENTILATEUR VN 5;
480;340016;620170;FRITEC;DANFOSS;Détendeur - DANFOSS-Corps détendeur P.TES2-N;
481;340017;622253;FRITEC;DANFOSS;Sonde - DANFOSS-Sonde AKS12 PT1000 1.5M (084N0036);
482;340018;622407;FRITEC;DANFOSS;Régulateur ERC 202 A - DANFOSS ELEC.EKC 202A 230V Sans sonde;
483;340019;626061;FRITEC;DANFOSS;Filtre déshydrateur - DANFOSS DCL 083S 3/8 (023Z502300);
484;340020;627225;FRITEC;TOUTES MARQUES;BOBINE EV 240V;
485;340021;792171;FRITEC;DANFOSS;Sonde - ELIWELL- PTC Câble Silicone 1.5M;
486;340022;826160;FRITEC;DIVERS FROID;VANNE A SOUDER 3/8;
487;340024;866760;FRITEC;DIVERS FROID;VANNE A SOUDER 3/8;
488;340026;893271;FRITEC;DIVERS FROID;RELAIS DEMARRAGE;
489;340027;893273;FRITEC;DIVERS FROID;RELAIS DEMARRAGE;
490;340028;896553;FRITEC;JULES RICHARD;STYLET X5 (jeu);
491;340029;068-2010;FRITEC;?;BUSE 01;
492;340030;068-2090  //621071;FRITEC;?;BUSE 00;
493;340031;068-2091// 621073;FRITEC;?;BUSE 01;
494;340032;068-2094//621079;FRITEC;?;BUSE 04;
495;340033;068-2095;FRITEC;?;BUSE 05;
496;340034;092021101C;FRITEC;FERMOD;CAPUCHON VERT;
497;340035;772823;FRITEC;;"Voyant Liquide a braser 3/8"" VCYL33S";
498;340036;792.171;FRITEC;DANFOSS;SONDE;
499;340037;526 057;FRITEC;ELCO;VENTILATEUR VN 16;
500;340038;526115;FRITEC;ELCO;VENTILATEUR VN 10;
501;340039;526 213;FRITEC;ELCO;VENTILATEUR VN 25;
502;340040;0682092;FRITEC;?;BUSE 02;
503;340041;;FRITEC;?;Ecrou tube 1/4 à visser 3/8;
504;340042;;FRITEC;?;Ecrou tube 3/8 à visser 1/2;
505;340043;;FRITEC;?;Ecrou 5/8;
506;340044;0867005;FRITEC;;Ecrou 1/8;
507;340045;0867017;FRITEC;?;Ecrou 1/2;
508;340046;068.2094;FRITEC;?;BUSE 04;
509;340047;068.2095;FRITEC;?;BUSE 05;
510;340048;092.021.101 C;FRITEC;FERMOD;CAPUCHON VERT;
511;340049;620.170;FRITEC;DANFOSS;DETENDEUR;
512;340050;620.172;FRITEC;DANFOSS;DETENDEUR;
513;340051;622.253;FRITEC;DANFOSS;SONDE PT 1000;
514;340052;526057;FRITEC;ELCO;VENTILATEUR VN 16;
515;340053;526113;FRITEC;ELCO;VENTILATEUR VN 5;
516;340054;526115;FRITEC;ELCO;Ventilateur VN 10;
517;340055;526213;FRITEC;ELCO;VENTILATEUR VN 25;
518;340056;622407;FRITEC;DANFOSS;REGULATEUR ERC 202 A;
519;340057;622412;FRITEC;DANFOSS;Régulateur 202C 11S - DANFOSS Elec.Univ. EKC 202C MS 230V SS Sondes pour dégivrage électrique;
520;340058;2005086927;REFLEX SERVICE;TAYLOR;Contacteur 4P 40A 240V;
521;340059;620181;FRITEC;;Buse détendeur 00 (DANFOSS réf 0682003) T2 ORIFICE N°00;
522;340060;620187;FRITEC;;Buse détendeur 03 (DANFOSS réf 0682006) T2 Orifice N°03;
523;340061;0682007;FRITEC;;BUSE 04;
524;340062;0682010;FRITEC;;BUSE 01;
525;340063;620081;FRITEC;;BUSE 00 DANFOSS (réf 0682090)-T2 ORIFICE 00 F/B à braser;
526;340064;0867017;FRITEC;;Ecrou 1/2;
527;340065;;FRITEC;;Ecrou 1/4;
528;340066;068.2095;FRITEC;;BUSE 05;
529;340067;092.021.101 C;FRITEC;FERMOD;CAPUCHON VERT;
530;340068;526173;FRITEC;ELCO;HELICE VENTILATEUR;
531;340069;866213;FRITEC;DIVERSES;VANNE A VISSER;
532;340070;526059;FRITEC;ELCO;MOTEUR VENTILO  / 25/100 W;
533;340071;526119;FRITEC;ELCO;Moteur VNT25.40.030 (NET5T25PVN001)  ELCO;
534;340072;526057;FRITEC;;VENTILATEUR VN 16;
535;340073;526113;FRITEC;ELCO;VENTILATEUR VN 5;
536;340074;526115;FRITEC;ELCO;VENTILATEUR VN 10;
537;340075;526213;FRITEC;ELCO;VENTILATEUR VN 25;
538;340076;620172;FRITEC;DANFOSS;Détendeur - DANFOSS-Corps détendeur P.TES2-B;
539;340077;622407;FRITEC;DANFOSS;REGULATEUR EKC 202 A;
540;340078;9884244;FRITEC;DAGARD;BOUCHON VALVE;
541;340079;4826395001;FRITEC;DAGARD;CORDON CHAUFFANT;
542;340080;703103;FRITEC;FLASH;DESHYDRATEUR;
543;340081;R134;FRITEC;DEHON;FREON;
544;340082;R404;FRITEC;DEHON;FREON;
545;340083;EH010;CEF;FLASH;HORLOGE 24 H;
546;340084;792 354;FRITEC;ELIWELL;REGULATEUR ELECTRONIQUE;
547;340085;792 372;FRITEC;ELIWELL;REGULATEUR ELECTRONIQUE;
548;340086;MR51PM230;FRITEC;JOHNSON;REGULATEUR ELECTRONIQUE;
549;340087;866159;FRITEC;DAGARD;VALVE A SOUDER - raccord droit 6cm 1/4;
550;340088;MV2140;FRITEC;DAGARD;VALVE RAPIDE;
551;340089;526115;FRITEC;ELCO;VENTILATEUR VN 10;
552;340090;526117;FRITEC;ELCO;MOTEUR VNT16.25.029 (NET5T16PVN001) ELCO-;
553;340091;526113;FRITEC;ELCO;VENTILATEUR VN 5;
554;340092;628117;FRITEC;;Transformateur TCM 230/12V 3VA (TRA12UNI00) ELIWELL;
555;340093;628117;FRITEC;TCM;TRANSFORMATEUR 230/12 VOLT 3VA;
556;340095;620095;FRITEC;DANFOSS;"Adaptateur Danfoss a BR 1/4 """;
557;340096;627217;;DANFOSS;Bobine 24V 50HZ DANFOSS;
558;340097;627315;FRITEC;DANFOSS;Electrovanne 3/8 à souder  EVR6;
559;340098;628101;;CARREL;Sonde de régulation PTC CARREL;
560;340099;792117;;ELIWELL;Régulateur ELIWELL EWDR983;
561;340100;866215;FRITEC;;Vanne rapide 3/8 / Collier perce tube serie B 3/8 MV-2380;
562;340101;893145;;;Vanne Shrader universelle;
563;340102;772403;FRITEC;;Deshy 1/4 ODF DCY052S;
564;340103;5008575;FRITEC;DAIKIN;Platine de contrôle pour FTXS50G2V1B;
565;340104;5010287;FRITEC;DAIKIN;Moteur turbine pour FTXS50G2V1B;
566;340105;2072018;FRITEC;DAIKIN;Moteur ventilo pour 4MXS80E7V3B1;
567;340106;TSCONG2400;FRITEC;DAGARD;Goulotte angle Dagard;
568;340107;TSLIPROT00;FRITEC;DAGARD;Protection murale de chambre froide;
569;340108;822809;FRITEC;DAGARD;Armaflex diam 40;
570;340109;TSELIPR000;FRITEC;DAGARD;Lot d'embout;
571;340110;822602;FRITEC;DIVERSES;Rouleau de bande armaflex;
572;340111;TSPLINT00;FRITEC;DAGARD;Plinthe noire chambre froide;
573;340112;TSCANGL00;FRITEC;DAGARD;Lot de 4 coins d'angles;
574;340113;TSCPLINT00;FRITEC;DAGARD;Lot de 4 angles noir;
575;340114;TSEPLINT00;FRITEC;DAGARD;Lot d'embout;
576;340115;627311;FRITEC;DIVERS FROID;Electrovanne pour Carpigiani 1/4 braser;
577;340116;520.117;FRITEC;DIVERS FROID;Ventilo évap;
578;340117;898385;FRITEC;FERMOD;Lanière translucide négative;
579;340118;898381;FRITEC;FERMOD;Lanière translucide chambre positive;
580;340119;792354;FRITEC;ELIWELL;Régulateur  Eliwell ID + 961;
581;340120;ATEL67;TCA;DIVERSES;Grille ext.A 430 x 490H PAS 50MM;
582;340121;300351;FRITEC;DIVERSES;Platine;
583;340122;065338J;FRITEC;DIVERSES;Résistance;
584;340123;335737;FRITEC;;Résistance évaporateur;
585;340124;0303002;GENERALE FRIGORIFIQUE FRANCE;;Ventilateur évaporateur;
586;340125;AATE3501B;GENERALE FRIGORIFIQUE FRANCE;DIVERS FROID;Compresseur;
587;340126;39025;LANGUEDOC OUTILLAGE;;Bouteille d'azote 0.9m3;
588;340127;538105;FRITEC;;Ventilateur hélice 4656Z avec connecteur LZ 120B;
589;340128;893492;FRITEC;;Détecteur de fuite CARLYLOC 400ml;
590;340129;844620;FRITEC;;Bouteille de récupération 12L HP;
591;340130;792323;FRITEC;ELIWELL;Thermostat enc. IC901 230V ELIWELL;
592;340131;703101;FRITEC;;Déshydrateur;
593;340132;479172;FRITEC;;Kit support complet blanc 450mm JZ450 (1 carton contient 1 paire de support);
594;340133;526061;FRITEC;DIVERSES;Moteur ventilateur 24W 230 v;
595;340134;211432;FRITEC;DIVERS FROID;Compresseur de frigo;
596;340135;;;;Recherche de fuite avec prestobull ou mille bulle;
597;340136;DSX04060A;RHONE CHIMIE INDUSTRIE;DIVERSES;Bidon de désoxal par 5 litres;
598;340137;;;;Forfait recharge R290 (comprenant embout à sertir + fréon);
599;340138;844750;FRITEC;;Reprise - Emballage CUBIKOOL;
600;340139;;FRITEC;DIVERS FROID;Cordon chauffant ou résistance 6m56;
601;340140;200473;FRITEC;;Unité extérieure;
602;340141;350239;FRITEC;;Evaporateur;
603;340142;620066;FRITEC;;Détendeur TES2;
604;340143;628300;FRITEC;;Coffret de régulation;
605;340144;627312;FRITEC;;"Electrovanne à braser - DANFOSS-EVR 6 1/2""";
606;340145;263242;FRITEC;EMBRACO;Compresseur EMBRACO HERM.NT6222 GK au R404A;
607;340146;733862-100;CED;;Tube iro les 3mètres ou moulures;
608;340147;855303;FRITEC;;Tige filetée nylon M10 1 mètre;
609;340148;855313;FRITEC;;Ecrou nylon;
610;340149;850106;FRITEC;;Cuivre 3/8;
611;340150;850108;FRITEC;;Cuivre 1/2 non isole prix au metre couronne de 15 metre;
612;340151;823407;FRITEC;;Armaflex isolant 13 X 012;
613;340152;860433;FRITEC;FERMOD;Poignée fermeture à clé Fermod;
614;340153;1678925;FRITEC;DAIKIN;Compresseur pour RZQ100C7V1B;
615;340154;5014170;FRITEC;DAIKIN;Platine Daikin pour RZQ100C7V1B;
616;340155;65337J;FRITEC;DAIKIN;Résistance de configuration;
617;340156;211492;FRITEC;DIVERS FROID;Compresseur FR6CL;
618;340157;930036;FRITEC;DIVERS FROID;Déshydrateur 1/4 à souder;
619;340158;702607;FRITEC;;Déshydrateur cigare;
620;340159;211435;FRITEC;DANFOSS;Compresseur DANFOSS SC21 CL HST;
621;340160;620097;FRITEC;DIVERS FROID;Adaptateur DANFOS 3/8;
622;340161;880450;FRITEC;DIVERSES;Castolin cartouche oxygène;
623;340162;880473;FRITEC;DIVERSES;Castolin cartouche 3050;
624;340163;851113;FRITEC;DIVERSES;Capillaire P.Raccord 1.oM à shrader;
625;340164;870101;FRITEC;DIVERSES;Manchon F-F 1/4;
626;340165;870102;FRITEC;DIVERSES;Manchon F.F 3/8;
627;340166;870104;FRITEC;DIVERSES;Manchon F-F 5/8;
628;340167;681615;FRITEC;JOHNSON;Régulateur Johnson 230V avec 2 sondes IP67 incluses;
629;340168;627253;FRITEC;DANFOSS;Bobine Danfoss;
630;340169;060270328;ROLESCO;DIVERS FROID;Thermostat avec sonde MR53+PM230-2CA;
631;340170;479080;FRITEC;DIVERSES;Tube cuivre 1/4-3/8;
632;340171;479406;FRITEC;DIVERSES;Goulotte canal split + film;
633;340172;479404;FRITEC;DIVERSES;Goulotte canalsplit+ film type 08;
634;340173;479425;FRITEC;DIVERSES;Coude 90° Type 1207 CP;
635;340174;479453;FRITEC;DIVERSES;Réduction type 1280RI;
636;340175;872105;FRITEC;DIVERSES;Coude 90° GR F-F;
637;340176;874105;FRITEC;DIVERSES;"TÉ 5/8""";
638;340177;870209;FRITEC;DIVERSES;Manchon réduction F-F;
639;340178;620880009;ROLESCO;DIVERS FROID;hélice aspirante diam 172;
640;340179;211433;FRITEC;DANFOSS;Compresseur SC15CL Danfoss;
641;340180;263263;FRITEC;EMBRACO;Compresseur Embraco HERM.NT 6220 GK;
642;340181;02C0500700;FRITEC;DIVERS FROID;Résistance cadre de porte 6.56m;
643;340182;340182;COFRISET;;Régulateur AKO 10323 230 v;
644;340183;262028;DIVERS FOURNISSEURS;TOURNUS;Thermostat pour groupe froid;
645;340184;262395;DIVERS FOURNISSEURS;TOURNUS;Polyester façade thermos froid;
646;340185;114842150;COFRISET;DIVERS FROID;Régulateur AKO 10323 230V;
647;340186;520120;FRITEC;ELCO;Elco ventilateur;
648;340187;526177;FRITEC;ELCO;Hélice A0254 MM/R/28° ALU;
649;340188;200655;FRITEC;;Groupe froid;
650;340189;341011;FRITEC;;Evaporateur plafonnier;
651;340190;627314;FRITEC;DANFOSS;Electrovanne 3/8 à braser;
652;340191;625011;FRITEC;DANFOSS;Pressostat Danfoss;
653;340192;625093;FRITEC;DANFOSS;Console de montage;
654;340193;851103;FRITEC;;"Capillaire raccord  1.0 M L 1/4""";
655;340194;791705;FRITEC;;Coffret électrique  FP-PNM9;
656;340195;850112;FRITEC;;Tube  5/8;
657;340196;823411;FRITEC;;Armaflex;
658;340197;IMS 257;FRITEC;;Support mural réglable avec niveau  550 x800 mm;
659;340198;844700;FRITEC;;Emballage Cubikool;
660;340199;0960018;FRITEC;DAIKIN;Moteur turbine pour FT25GV1B DAIKIN;
661;340200;6233184876;TCA;SANYO;Carte de circuit principale;
662;340201;6231924405;TCA;SANYO;Platine;
663;340202;9231712768;TCA;SANYO;Réacteur ou redresseur (bobinage);
664;340203;823517;FRITEC;;Armaflex diam 22 épaisseur 19 ( vendu au mètre;
665;340204;823511;FRITEC;;Armaflex diam 16 épaisseur 19;
666;340205;479423;FRITEC;;Coude 90° type 0807CP;
667;340206;479419;FRITEC;;Angle intérieur type 0805AI;
668;340207;479424;FRITEC;;Angle extérieur type 0806AE;
669;340208;855263;FRITEC;;Paire de supports de sol rubber 450 x 160x90( AC niveau à bulle et visserie);
670;340209;867441;FRITEC;;"Bouchon femelle cyl. 1/4""";
671;340210;867443;FRITEC;;Bouchon femelle CYL 3/8 BF002;
672;340211;479435;FRITEC;;Té type 1213 DT pour goulotte;
673;340212;479421;FRITEC;;Angle intérieur type 1205 AI;
674;340213;0839479;FRITEC;DAIKIN;Turbine Daikin;
675;340214;823305;FRITEC;;Armaflex -isolant XG-09X010 10MM;
676;340215;823307;FRITEC;;Armaflex isolant XG-09X012;
677;340216;823505;FRITEC;;Armaflex isolant XG- 19X010;
678;340217;823507;FRITEC;;Armaflex-isolant XG-19X012 12MM;
679;340218;822617;FRITEC;;Armaflex colle spéciale;
680;340219;18050516P PAR 12KG;COFRISET;;Fréon R-422D par 12kg ( prix au kg );
681;340220;;FRITEC;;Article spécial lot de cuivre;
682;340221;211429;FRITEC;;Compreseur FR6CLXN;
683;340222;848825;FRITEC;;"Bidon nettoyant /dégraissant bidon de 5 litre
prix au litre";
684;340223;479087;FRITEC;;Tube cuivre PRE-ISO  3/8 - 5 /8 PRIX AU METRE;
685;340224;622403;FRITEC;DANFOSS;Thermostat Danfoss 102B sans sonde;
686;340225;479431;FRITEC;;Coude de traversée de mur;
687;340226;242709;FRITEC;;"Vanne BP 1"" 1/4 / 7/8";
688;340227;205253;FRITEC;;Joint;
689;340228;479402;FRITEC;;Goulotte canalsplit + film 0612 BCF 60X45 type 06;
690;340229;479240;FRITEC;;Goulotte PVC Blanche 2M clipsable 24x14;
691;340230;479426;FRITEC;;Angle extérieur type 1206AE;
692;340231;858859;FRITEC;;cartouche silicone Blanche brill silirub 300ML;
693;340232;479121;FRITEC;;Raccord Y pour tuyau condensa 20/18 ( sachet de 20 pièces) vendu à l'unité;
694;340233;479144;FRITEC;;Support mural réglable pour clim 55 cm 70kg;
695;340234;823405;FRITEC;;Armaflex- isolant 13 X 010;
696;340235;857123;FRITEC;;Boite de dérivation Legrand carré 105 x 105mm;
697;340236;TH110;TCA;;Thermostat;
698;340237;476401;FRITEC;;Pompe condensa SI-30 Sauermann;
699;340238;476407;FRITEC;;Tube transparent aérosol Sauermann;
700;340239;476491;FRITEC;;Kits raccords Sauermann;
701;340240;KDXX5050A;GENERALE FRIGORIFIQUE FRANCE;;Coude 90° FF LT 5/8;
702;340241;KDXX5060A;GENERALE FRIGORIFIQUE FRANCE;;Coude 90° FF LT 3/4;
703;340242;792328;FRITEC;ELIWELL;Thermo Eliwell IC +902 -230V-8A+NTC;
704;340243;772493;FRITEC;;Kit de raccordement;
705;340244;867019;FRITEC;;Ecrou 1/2;
706;340245;2134125;FRITEC;DAIKIN;Moteur Daikin pour FTXG25EV1BW;
707;340246;152231J;FRITEC;DAIKIN;Câble moteur Daikin pour FTXG25EV1BW;
708;340247;340247;FRITEC;DAIKIN;moteur ventilateur  pour CTXG50EV1BW;
709;340248;159700J;FRITEC;DAIKIN;Câble moteur pour FTXS20D3VMW;
710;340249;479429;FRITEC;;Coude de traversée  de mur type 0809cm;
711;340250;479417;FRITEC;;Couvre joint 1204 GC pour goulotte;
712;340251;893146;FRITEC;;Raccord rapid direct;
713;340252;848823;FRITEC;;Spray nettoyant /dégraissant Coolnet;
714;340253;893511;FRITEC;CASTOLIN;Castolin dégrippant;
